종목코드,기업명,ROE,ROA,GPM,OPM,NPM,EBITDA,부채비율,유동비율,당좌비율,자기자본비율,매출액증가율,영업이익증가율,EPS증가율,BPS증가율,재고자산회전율,총자산회전율,PER,PBR,PSR,PCR,EV/EBITDA,GP/A,OCF,FCF,주가,시가총액
000020,동화약품,5.7,4.68,0.0,8.79,6.34,299.15,21.78,301.11,301.11,82.12,16.18,32.98,0.0,0.0,340426327300.0,0.7382,0.0,0.0,0.7597,0.0,11.4,0.0,0.0,0.0,9260,258609868421
000040,KR모터스,-32.48,-8.71,0.0,-5.33,-11.11,-62.34,272.74,64.92,64.92,26.83,-12.32,-131.11,0.0,0.0,117058740510.0,0.7847,0.0,0.0,0.4129,0.0,0.0,0.0,0.0,0.0,560,48336842105
000050,경방,0.58,0.35,0.0,8.19,1.13,318.95,65.34,75.11,75.11,60.48,1.53,-40.71,0.0,0.0,389227582838.0,0.3118,0.0,0.0,0.7607,0.0,24.75,0.0,0.0,0.0,10800,296083832335
000070,삼양홀딩스,4.19,2.33,0.0,3.99,3.19,1323.24,80.22,231.52,231.52,55.49,6.74,-62.38,0.0,0.0,3316778000000.0,0.7293,0.0,0.0,0.1608,0.0,19.33,0.0,0.0,0.0,68700,533347314949
000080,하이트진로,7.48,2.6,0.0,7.63,3.48,1905.71,187.11,68.57,68.57,34.83,13.38,9.45,0.0,0.0,2497554821448.0,0.7492,0.0,0.0,0.7174,0.0,20.8,0.0,0.0,0.0,25550,1791861842105
000100,유한양행,4.51,3.66,0.0,2.03,5.1,360.29,23.16,273.84,273.84,81.2,5.22,-25.86,0.0,0.0,1775846942745.0,0.7182,0.0,0.0,2.5654,0.0,139.35,0.0,0.0,0.0,57200,4555818666666
000120,CJ대한통운,4.88,2.03,0.0,3.39,1.62,4117.87,140.27,95.1,95.1,41.62,6.94,19.75,0.0,0.0,12130712862374.0,1.2515,0.0,0.0,0.1762,0.0,18.93,0.0,0.0,0.0,93700,2137553183520
000140,하이트진로홀딩스,6.18,1.83,0.0,8.15,2.9,2025.03,238.51,54.82,54.82,29.54,13.33,7.48,0.0,0.0,2484277054372.0,0.6297,0.0,0.0,0.0908,0.0,14.84,0.0,0.0,0.0,9720,225533550488
000150,두산,-5.64,-2.21,0.0,6.63,-3.42,11260.29,155.54,100.5,100.5,39.13,32.25,22.25,0.0,0.0,16995760103010.0,0.6458,0.0,0.0,0.0792,0.0,15.42,0.0,0.0,0.0,83100,1345707654135
000180,성창기업지주,-2.2,-1.6,0.0,-5.05,-5.77,-114.87,37.69,69.49,69.49,72.63,14.94,-209.7,0.0,0.0,227519697624.0,0.2774,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,1860,129683333333
000210,DL,2.21,0.85,0.0,5.55,1.97,2874.59,160.28,129.25,129.25,38.42,119.39,48.82,0.0,0.0,5174950425108.0,0.4306,0.0,0.0,0.2397,0.0,30.06,0.0,0.0,0.0,59200,1240634055727
000220,유유제약,-3.59,-2.27,0.0,-0.43,-3.19,-5.92,58.22,149.82,149.82,63.2,20.08,-149.34,0.0,0.0,138881056346.0,0.7115,0.0,0.0,0.7631,0.0,0.0,0.0,0.0,0.0,6220,105975660160
